dataset,algorithm,mean_acc,std_acc,ci_acc,mean_time_us,std_time_us,n_seeds
checkerboard,Decision Tree,0.999,0.0022360679774997916,0.0019600000000000017,0.24550012312829494,0.010169881269773438,5
checkerboard,Random Forest,0.999,0.0022360679774997916,0.0019600000000000017,62.259124126285315,4.941449186776582,5
checkerboard,Delaunay (Ours),0.96,0.012247448713915901,0.010735362127101265,0.0029,0.0001414213562373094,5
blobs,KNN (CV-tuned k),0.9553333333333333,0.03848520639299097,0.03373377074815221,3.099222046633561,0.6671569847058421,5
blobs,"SVM (RBF, CV-tuned)",0.96,0.039651257511234425,0.03475585961787996,17.01908279210329,9.794678840428395,5
blobs,Decision Tree,0.9346666666666668,0.054903956546358684,0.04812543979597022,0.1985561102628708,0.020680088674531624,5
blobs,Random Forest,0.9613333333333334,0.033383295889478075,0.029261749017370012,43.980694841593504,2.0501564532240026,5
blobs,Delaunay (Ours),0.9506666666666668,0.04940760175429599,0.04330767240211473,0.007179999999999999,0.009743561977018466,5
earthquake,KNN (CV-tuned k),0.9540000000000001,0.0023452078799117166,0.0020556653424134985,2.361000282689929,0.5657575800205294,5
earthquake,"SVM (RBF, CV-tuned)",0.9549999999999998,0.0029154759474226528,0.00255552734283944,21.648708218708634,0.789524411856725,5
earthquake,Decision Tree,0.9204000000000001,0.007893034904268454,0.00691855013713134,0.13930834829807281,0.016272539323673754,5
earthquake,Random Forest,0.95,0.004183300132670382,0.003666824239038466,12.794924573972821,0.8730945423272759,5
earthquake,Delaunay (Ours),0.9512,0.005848076606885384,0.005126065157603836,0.006960000000000001,0.0034428186127067454,5
sfcrime,KNN (CV-tuned k),0.6079999999999999,0.017621010186706112,0.01544549643099892,2.3965165950357914,0.46376675009401885,5
sfcrime,"SVM (RBF, CV-tuned)",0.6145999999999999,0.01304990421420787,0.01143874538574927,87.06113318912685,6.877406912373633,5
sfcrime,Decision Tree,0.6052,0.026090228055730007,0.02286909320458511,0.1588250044733286,0.004747943699518994,5
sfcrime,Random Forest,0.6202,0.014394443372357279,0.012617285920513978,12.923183618113399,0.5832296159751911,5
sfcrime,Delaunay (Ours),0.577,0.02384323803513272,0.020899519611703988,0.0054,0.0028513154858766506,5
wine,KNN (CV-tuned k),0.95,0.05692750425533108,0.049899157567296896,18.5057844242288,1.9289234966191464,5
wine,"SVM (RBF, CV-tuned)",0.9722222222222221,0.02777777777777779,0.02434829575499772,6.348382319427199,2.8855911431829213,5
wine,Decision Tree,0.9277777777777778,0.024845199749997673,0.021777777777777785,1.1844909749925137,0.06507810274953103,5
wine,Random Forest,0.9555555555555555,0.031671539586087184,0.027761328462894065,347.61111019179225,30.423099790118933,5
wine,Delaunay (Ours),0.961111111111111,0.03167153958608718,0.027761328462894058,0.006900000000000001,9.69739903612216e-19,5
cancer,KNN (CV-tuned k),0.9473684210526315,0.012405382126079782,0.0108737968665439,6.335452934236903,0.5508127837906993,5
cancer,"SVM (RBF, CV-tuned)",0.9456140350877191,0.014413751513293832,0.012634210252250063,2.6001460164001116,0.0909096030379594,5
cancer,Decision Tree,0.9157894736842106,0.010001538816659102,0.008766735304071802,0.3904230859980249,0.016872692768697586,5
cancer,Random Forest,0.9421052631578947,0.010001538816659083,0.008766735304071786,108.54166507590234,8.869737228874447,5
cancer,Delaunay (Ours),0.9438596491228071,0.02112560452419702,0.0185174088104976,0.00394,0.0009181503144910422,5
bloodmnist,KNN (CV-tuned k),0.34054370067231804,0.0,0.0,2.1334551193105376,0.11826556709421672,5
bloodmnist,"SVM (RBF, CV-tuned)",0.36597486115171,0.0,0.0,340.6324149570865,1.4003445289700365,5
bloodmnist,Decision Tree,0.27769657994738384,0.0007452527789524578,0.0006532428626700615,0.157994682334627,0.008647174810151688,5
bloodmnist,Random Forest,0.30727857351651566,0.002799184944723546,0.0024535937846543693,26.227565029256528,41.22155413749173,5
bloodmnist,Delaunay (Ours),0.33089739842151417,0.0,0.0,0.00558,0.001953714411064217,5
