variant,avg_insert_ns,avg_move_ns,avg_delete_ns,notes
Full Dynamic (SRR+Buckets),36887.6,107946,78179.2,With local rebuild
No SRR Maintenance,34775,82716.6,32754.2,CGAL DT only
