dataset,variant,accuracy_mean,accuracy_std,inference_us_mean,inference_us_std,train_ms_mean,train_ms_std,n_seeds,notes
checkerboard,Outlier multiplier=1.50,0.958,0.01643167672515495,0.0,0.0,0.0,0.0,5,799 vertices
checkerboard,Outlier multiplier=2.00,0.96,0.012247448713915901,0.0,0.0,0.0,0.0,5,800 vertices
checkerboard,Outlier multiplier=3.00,0.96,0.012247448713915901,0.0,0.0,0.0,0.0,5,800 vertices
checkerboard,Outlier multiplier=5.00,0.96,0.012247448713915901,0.0,0.0,0.0,0.0,5,800 vertices
checkerboard,Outlier multiplier=10.0,0.96,0.012247448713915901,0.0,0.0,0.0,0.0,5,800 vertices
blobs,Full Pipeline (Ours),0.9506666000000001,0.049407805277101695,0.002889336,0.00015199551894710584,5.3254,0.1755912867997726,5,2D Buckets + Outlier + HalfPlane
blobs,Without 2D Buckets Grid,0.9539998000000001,0.04139255569181491,0.2374994,0.01375346706470772,0.0,0.0,5,DT locate walk (no O(1) grid)
blobs,Without Outlier Removal,0.9373334000000002,0.06473900078237231,0.0020273319999999997,0.0001233650725286538,4.3576,0.137972098628672,5,No Phase 1 cleanup
blobs,Nearest Vertex Only (1-NN),0.9506665999999999,0.04511725587621656,0.550306,0.012516061640947602,0.0,0.0,5,No half-plane boundary
blobs,Outlier multiplier=1.50,0.9506667999999999,0.05524683801992655,0.0,0.0,0.0,0.0,5,1104 vertices
blobs,Outlier multiplier=2.00,0.9486668,0.0574745392908895,0.0,0.0,0.0,0.0,5,1149 vertices
blobs,Outlier multiplier=3.00,0.9506666000000001,0.049407805277101695,0.0,0.0,0.0,0.0,5,1182 vertices
blobs,Outlier multiplier=5.00,0.9473331999999999,0.056243663347082924,0.0,0.0,0.0,0.0,5,1194 vertices
blobs,Outlier multiplier=10.0,0.9486667999999998,0.05480253339673269,0.0,0.0,0.0,0.0,5,1200 vertices
earthquake,Full Pipeline (Ours),0.9512,0.005848076606885384,0.0022245999999999998,0.0002986708891070571,17.679000000000002,0.35844525383941056,5,2D Buckets + Outlier + HalfPlane
earthquake,Without 2D Buckets Grid,0.9488,0.003271085446759228,0.33727500000000005,0.03551275924931771,0.0,0.0,5,DT locate walk (no O(1) grid)
earthquake,Without Outlier Removal,0.9334000000000001,0.009181503144910397,0.0019752,0.00014008461728541078,15.9428,0.20774912755532748,5,No Phase 1 cleanup
earthquake,Nearest Vertex Only (1-NN),0.9506,0.0018165902124584966,0.7310836000000001,0.04223300447280536,0.0,0.0,5,No half-plane boundary
earthquake,Outlier multiplier=1.50,0.952,0.004301162633521317,0.0,0.0,0.0,0.0,5,2919 vertices
earthquake,Outlier multiplier=2.00,0.952,0.004636809247747856,0.0,0.0,0.0,0.0,5,3131 vertices
earthquake,Outlier multiplier=3.00,0.9512,0.005848076606885384,0.0,0.0,0.0,0.0,5,3372 vertices
earthquake,Outlier multiplier=5.00,0.952,0.004358898943540678,0.0,0.0,0.0,0.0,5,3563 vertices
earthquake,Outlier multiplier=10.0,0.9541999999999999,0.003033150177620623,0.0,0.0,0.0,0.0,5,3714 vertices
sfcrime,Full Pipeline (Ours),0.577,0.02384323803513272,0.0023413999999999996,0.00033531522482583464,12.921600000000002,0.043200694438863006,5,2D Buckets + Outlier + HalfPlane
sfcrime,Without 2D Buckets Grid,0.603,0.01298075498574718,0.3695918,0.01718062874868088,0.0,0.0,5,DT locate walk (no O(1) grid)
sfcrime,Without Outlier Removal,0.5656000000000001,0.010502380682492847,0.0020496,7.998312321983929e-05,12.374,0.22221723605517227,5,No Phase 1 cleanup
sfcrime,Nearest Vertex Only (1-NN),0.6060000000000001,0.01581138830084191,0.6145496,0.018831208067991795,0.0,0.0,5,No half-plane boundary
sfcrime,Outlier multiplier=1.50,0.5839999999999999,0.010124228365658303,0.0,0.0,0.0,0.0,5,2073 vertices
