variant,avg_insert_ns,avg_move_ns,avg_delete_ns,notes
Full Dynamic (SRR+Buckets),90535.4,173369,84233.4,With local rebuild
No SRR Maintenance,99437.4,171871,82716.6,CGAL DT only
