variant,avg_insert_ns,avg_move_ns,avg_delete_ns,notes
Full Dynamic (SRR+Buckets),34258.4,59352.1,30500,With local rebuild
No SRR Maintenance,364.5,2579.05,1843.75,CGAL DT only
