variant,avg_insert_ns,avg_move_ns,avg_delete_ns,notes
Full Dynamic (SRR+Buckets),648533,1.23343e+06,642636,With local rebuild
No SRR Maintenance,650544,1.24584e+06,624969,CGAL DT only
