57.232,-136.195,0
-17.6632,167.4049,1
36.0926666666667,-117.896166666667,0
59.74,-152.964,0
57.269,-136.178,0
57.288,-136.121,0
-26.5843,-69.9474,1
57.17,-136.272,1
4.2498,97.4461,1
40.5705,-125.218333333333,0
60.4379,-139.4959,0
-21.4853,-176.649,1
-31.8763,179.5402,1
61.203,-151.306,0
-55.7658,-28.5816,1
-20.1038,-177.7878,1
24.2854,121.8917,1
35.5101,140.1237,1
32.9468,49.6861,1
-50.1497,-7.0385,1
-10.2114,119.3754,1
60.936,-147.165,0
-15.2366,-176.038,1
36.6636666666667,-121.3,0
4.3982,126.6035,1
35.96683333,-98.2275,0
51.5485,-173.3078,0
51.3687,178.7544,0
31.536,-104.015,0
18.0498,-68.534,0
48.9269,154.869,1
60.6073,-139.8148,0
63.573,-147.766,0
36.0888333333333,-120.180666666667,0
31.8187,130.7941,1
-56.1317,-27.598,1
-32.9572,-178.4684,1
52.6802,160.7279,1
18.966,-67.313,0
52.4453,160.8488,1
61.349,-149.95,0
50.6181,-175.0266,0
23.9447,122.5335,1
36.0865,-120.185,0
38.4319,25.4298,1
17.8726666666667,-66.8465,0
-30.5721,-178.3714,1
57.057,-155.571,0
37.0616,-104.9626,0
61.335,-149.975,0
30.0115,142.5044,1
-34.4432,55.5072,1
61.4089,138.1263,1
54.5188,-161.5718,0
29.8969,142.1796,1
-3.3817,128.6661,1
56.5392,163.1864,1
15.0757,-97.5406,1
-4.4366,143.9305,1
36.0873333333333,-120.179666666667,0
60.4,-151.736,0
-44.3643,-81.9499,1
-4.579,-77.8704,1
36.0873333333333,-120.181,0
-44.0016,-81.7202,1
-21.1028,-174.0896,1
53.0749,161.1091,1
28.9786,139.0356,1
40.9527,142.8004,1
41.2871,142.595,1
-20.8547,-178.7406,1
58.364,-137.014,0
19.226,-155.530833333333,0
-50.0695,114.2197,1
19.1465,-155.481166666667,0
51.4022,-178.7795,0
-50.0958,114.2014,2
20.0306,129.4741,1
61.691,-149.794,0
-56.9066,-24.522,1
44.3569,142.4527,1
28.907,-99.018,0
-17.4218,-174.6048,1
-18.0512,-178.3084,1
-23.6487,-179.8553,1
3.9854,119.6735,1
7.3823,127.0721,1
2.5955,128.6174,1
